Codigo;Titulo;Genero;Categoria;Precio;Boletos 
1;Logan;ciencia ficcion;Mayor de 14;3500;0
2;El cordero;drama;Mayor de 14;3000;0
3;el Fragmentado;suspenso;Mayor de 14;3500;0
4;Ghost in the Shell;accion;Todo Espectador;2500;0
5;Kong;accion;Todo Espectador;2500;0
6;La Bella y la Bestia;romance;Todo Espectador;3000;0
7;Life;suspenso;Todo Espectador;2500;0
8;lo que el viento se llevo;romance;Todo Espectador;2500;0
9;Power Rangers;accion;Todo Espectador;2500;0
10;Un Jefe en Pañales;comedia;Todo Espectador;2500;0
